,City,Country,Date,Temperature,Humidity,Clouds,Wind_Speed,Latitude,Longitude
0,Aberdeen,US,2018-12-21 07:53:00,24.079999999999984,95,90,2.6,45.47,-98.49
1,Abu Dhabi,AE,2018-12-21 08:00:00,75.19999999999999,53,20,4.1,24.47,54.37
2,Adamantina,BR,2018-12-21 08:00:00,93.19999999999999,36,0,2.1,-21.69,-51.08
3,Adiake,CI,2018-12-21 08:00:00,87.80000000000001,70,40,5.1,5.29,-3.3
4,Adrar,DZ,2018-12-21 08:00:00,69.80000000000001,30,0,8.7,27.87,-0.29
5,Adre,TD,2018-12-21 08:52:38,81.83660000000003,18,20,3.41,13.47,22.2
6,Agadir,MA,2018-12-21 08:30:00,73.39999999999992,35,0,1.5,30.42,-9.58
7,Aguimes,ES,2018-12-21 08:30:00,71.59999999999997,68,20,5.1,27.91,-15.45
8,Ahipara,NZ,2018-12-21 08:52:39,60.14659999999998,100,92,3.01,-35.17,173.16
9,Airai,TL,2018-12-21 08:52:39,73.10660000000001,84,32,0.56,-8.93,125.41
10,Akdepe,TM,2018-12-21 08:30:00,26.599999999999966,85,90,6.2,42.05,59.39
11,Aklavik,CA,2018-12-21 08:00:00,-11.199999999999989,76,90,1.5,68.22,-135.01
12,Aksha,RU,2018-12-21 08:52:40,7.271599999999978,49,68,7.61,50.28,113.29
13,Aksu,KZ,2018-12-21 08:30:00,-7.600000000000023,83,0,4.0,52.04,76.93
14,Albany,US,2018-12-21 08:29:00,55.04000000000002,89,90,1.5,42.65,-73.75
15,Altamira,BR,2018-12-21 08:52:42,78.19160000000005,95,88,1.41,-3.2,-52.21
16,Alyangula,AU,2018-12-21 08:00:00,85.99999999999994,74,32,2.6,-13.85,136.42
17,Am Timan,TD,2018-12-21 08:52:42,89.17159999999996,14,32,3.51,11.04,20.28
18,Ambanja,MG,2018-12-21 08:00:00,85.99999999999994,70,75,4.1,-13.68,48.45
19,Amga,RU,2018-12-21 08:52:43,-17.478400000000022,75,56,1.21,60.89,131.98
20,Ancud,CL,2018-12-21 08:00:00,55.39999999999992,82,90,5.1,-41.87,-73.83
21,Andros Town,BS,2018-12-21 08:00:00,73.39999999999992,88,75,6.2,24.73,-77.79
22,Anloga,GH,2018-12-21 08:00:00,91.39999999999992,55,20,4.1,5.79,0.9
23,Antofagasta,CL,2018-12-21 08:00:00,66.19999999999999,63,40,2.1,-23.65,-70.4
24,Ariquemes,BR,2018-12-21 08:52:44,87.68659999999994,69,0,1.36,-9.91,-63.03
